연번,읍면동,경로당 명,소재지,새주소,건물구조,계,남,여,"경로당
면적
(㎡)","건축년도
(준공일)"
1,문막읍,문막1리 경로당,문막읍 문막리 909, 문막시장3길 113(문막읍),철근콘크리트,75,35,40,205.08,2001-11-30
2,문막읍,문막2리 경로당,문막읍 문막리 542-1, 문막골말길 7-1(문막읍),철근콘크리트,72,36,36,99.09,2015-09-01
3,문막읍,포진1리 경로당,문막읍 포진리 169-4, 시무리길 35-8(문막읍),벽돌구조,70,33,37,168.6,2008-11-12
4,문막읍,포진2리 경로당,문막읍 포진리 642-7,,벽돌구조,50,20,30,98.4,2002-08-20
5,문막읍,궁촌1리 경로당,문막읍 궁촌리 768-3, 궁말길 23(문막읍),벽돌구조,101,37,64,104.58,2007-10-05
6,문막읍,궁촌2리 경로당,문막읍 궁촌리 429-3, 서들길 26(문막읍),철근콘크리트,59,20,39,154.96,2015-12-02
7,문막읍,비두1리 경로당,문막읍 비두리 1094-1, 귀문로 954(문막읍),철근콘크리트/경사스라브,51,22,29,132.3,2012-05-08
8,문막읍,비두2리 경로당,문막읍 비두리 1767, 사흥길 2(문막읍),벽돌구조,67,31,36,98.11,2009-08-21
9,문막읍,후용1리(남) 경로당,문막읍 후용리 1318,,철근콘크리트,19,19,0,262.98,2010-09-17
10,문막읍,후용1리(여) 경로당,문막읍 후용리 412-3,,벽돌  ,31,0,31,34.2,1980-03-20
11,문막읍,후용2리(남) 경로당,문막읍 견훤로 906-1, 견훤로 906-1(문막읍),철근콘크리트,24,24,0,112.42,1998-08-19
12,문막읍,후용2리(여) 경로당,문막읍 견훤로 912, 견훤로 912(문막읍),철근콘크리트/경량철골구조(2층),28,0,28,268.87,2010-03-05
13,문막읍,반계1리 경로당,문막읍 반저리1길 3, 반저리1길 3(문막읍),철근콘크리트/평스라브/경량철골,64,25,39,98.47,1996-09-03
14,문막읍,반계2리(남) 경로당,문막읍 반계리 651-1, 벌무내기길 11(문막읍),철근콘크리트,34,34,0,138.64,1973-01-01
15,문막읍,반계2리(여) 경로당,문막읍 반계리 659, 벌무내기길 23(문막읍),철근콘크리트,33,0,33,128,1992-12-12
16,문막읍,반계3리(골무내기) 경로당,문막읍 황효자길 58-1, 황효자길 60(문막읍),붉은벽돌/스라브,22,11,11,85.1,1998-11-20
17,문막읍,반계3리(밤산골) 경로당,문막읍 반계리 957, 밤상골길 4(문막읍),철근콘크리트/스라브,29,12,17,153.9,1998-08-21
18,문막읍,반계4리 남서울A 경로당,문막읍 쪽섬길 4," 쪽섬길 4, 109(문막읍, 남서울A)",철근콘크리트,25,6,19,66.42,1992-09-01
19,문막읍,취병1리 경로당,문막읍 취병리 412, 내신동1길 94(문막읍),철근콘크리트/스라브,61,31,30,97.43,1995-11-29
20,문막읍,취병2리 경로당,문막읍 취병리 520, 벌새터길 47-20(문막읍),철근콘크리트/철골,23,8,15,102.54,2010-10-13
21,문막읍,취병2리(진밭) 경로당,문막읍 취병리 799-3, 취병로 644(문막읍),벽돌구조(시멘벽돌),23,13,10,100.28,2006-07-07
22,문막읍,건등1리 경로당,문막읍 건등리 1228-1, 석지1길 172(문막읍),벽돌구조,36,13,23,120.96,2004-08-12
23,문막읍,건등1리(등안동) 경로당,문막읍 건등리 1, 지샘등안길 128-1(문막읍),경량철골조,35,15,20,106.56,2005-06-28
24,문막읍,건등2리 경로당,문막읍 건등리 343, 토평길 140(문막읍),철근콘크리트,62,23,39,42.66,2009-09-16
25,문막읍,건등3리 경로당,문막읍 건등리 1255-5, 명봉산길 22-5(문막읍),변색벽돌/스라브,27,11,16,134.6,1991-12-21
26,문막읍,건등4리 대보A 경로당,문막읍 건등리 194-1 대보A," 원문로 1613(문막읍, 대보A)",철근콘크리트,17,4,13,44.28,1991-12-16
27,문막읍,건등5리 덕원A 경로당,문막읍 건등리 193-2 덕원A," 원문로 1627(문막읍, 덕원A)",철근콘크리트,60,19,41,33,1994-12-14
28,문막읍,건등6리 경로당,문막읍 문막리 421-1, 건등로 16-21(문막읍),철근콘크리트,52,22,30,138.64,2013-11-18
29,문막읍,건등7리 신한A 경로당,문막읍 건등리 1697-2 신한A," 건등로 41(문막읍, 신한A)",철근콘크리트,41,18,23,155,1997-04-10
30,문막읍,삼익A 경로당,문막읍 건등리 1697-1(삼익A 관리동)," 건등로 27(문막읍, 삼익A)",철근콘크리트,22,10,12,107.2,1997-11-28
31,문막읍,건등9리 극동A 경로당,문막읍 건등리 1741-1 극동스타클래스A," 건등로 67(문막읍, 극동A)",철근콘크리트,33,10,23,87.481,2008-11-26
32,문막읍,건등10리 문막주공A 경로당,문막읍 건등리 1742-1 문막주공A," 원문로 1684(문막읍, 문막주공A)",철근콘크리트,101,39,62,73.402,2008-12-02
33,문막읍,동화1리 경로당,문막읍 동화리 1159-7, 큰애니길 76(문막읍),철근콘크리트,64,27,37,148.21,2006-08-16
34,문막읍,동화2리 경로당,문막읍 동화골길 72-6, 동화골길 72-6(문막읍),경량철골구조,65,29,36,157.82,2014-07-12
35,문막읍,동화3리 경로당,문막읍 동화리 56-3, 만낭포2길 8(문막읍),철근콘크리트/벽돌구조(2층) ,40,16,24,191.81,2003-06-27
36,문막읍,동화4리 만도A 경로당,문막읍 동화리 1532-1 만도A," 왕건로 114(문막읍, 만도A)",철근콘크리트,16,6,10,95.04,1991-09-20
37,문막읍,동화6리 동보렉스A 경로당,문막읍 동화리 1264-3 동보렉스A," 원문로 1588(문막읍, 동보렉스6차A)",철근콘크리트,64,20,44,65.52,1993-05-27
38,문막읍,동화8리 현진A 경로당,문막읍 동화리 8," 왕건로 77(문막읍, 현진A)",철근콘크리트,40,16,24,102.26,1997-01-30
39,문막읍,동화10리 부영A 경로당,문막읍 왕건로 80," 왕건로 80-1(문막읍, 부영A)",철근콘크리트,96,30,66,131.25,2000-10-27
40,문막읍,동화12리 신원아침도시A 경로당,문막읍 왕건로 20," 왕건로 20(문막읍, 신원아침도시A)",철근콘크리트,18,11,7,59.17,2008-04-30
41,문막읍,대둔리 경로당,문막읍 대둔리 64, 원문로 2663(문막읍),철근콘크리트,42,18,24,249.04,1996-08-24
42,문막읍,문막이화A 경로당,문막읍 동화리 1530-2, 동화초교길 31(문막읍),철근콘크리트,24,5,19,45.67,1994-11-10
43,문막읍,서원주코아루아너스A 경로당,문막읍 건등리 1743," 원문로 1700, 주민공동시설(문막읍)",철근콘크리트,45,16,29,179.84,2018-04-30
44,문막읍,명봉산 경로당,문막읍 건등리 107, 명봉산길 133(문막읍),철근콘크리트,36,17,19,88,2002-09-23
45,소초면,장양1리 경로당,소초면 장양리 69, 섬배로82(소초면),철근콘크리트,54,23,31,94.74,2004-09-23
46,소초면,장양2리 경로당,소초면 장양리 352-1, 장수1로136(소초면),철근콘크리트,35,17,18,96.06,2004-06-15
47,소초면,장양3리 경로당 ,소초면 장양리 849-1, 부안동길 10-3(소초면),철근콘크리트,41,18,23,97.48,2002-08-17
48,소초면,장양4리(대화지) 경로당,소초면 장양리 1257, 대화지길 97(소초면),철근콘크리트,18,8,10,83.26,2008-04-17
49,소초면,장양5리 경로당 ,소초면 장양리 1293-2, 장막1길 86(소초면),철근콘크리트,56,19,37,99.9,2013-09-11
50,소초면,장양6리 영진A 경로당 ,소초면 장막2길 12," 장막2길 12(소초면, 영진1차A)",철근콘크리트,56,21,35,45,1992-11-18
51,소초면,장양7리 백운A 경로당,소초면 장막1길 62," 장막 1길 62, 5-110(소초면, 백운A)",철근콘크리트,24,4,20,82,1994-11-18
52,소초면,장양8리 영진4차A 경로당,소초면 장양리 817 영진4차A," 장막2길 10(소초면, 영진4차A)",철근콘크리트,30,8,22,104.3,2006-10-30
53,소초면,장양9리 경로당,소초면 검엉터길 54, 검엉터길 54(소초면),조적조/벽돌구조(2층),33,16,17,98.73,2005-12-21
54,소초면,흥양1리 경로당,소초면 흥양리 1733-5, 송문2길 31(소초면),붉은벽돌(조적조),49,25,24,90.3,1994-08-25
55,소초면,흥양2리 경로당,소초면 흥양리 892-1, 황골로 172(소초면),조적조,86,44,42,66.5,1993-09-09
56,소초면,흥양3리 경로당,소초면 흥양리 282, 대왕고개길 10(소초면),철근콘크리트/경량철골구조(2층),68,33,35,102.15,2005-01-24
57,소초면,흥양4리 경로당,소초면 흥양리 1312, 살여울길 8(소초면),콘크리트옹벽조,55,28,27,98.91,2003-04-14
58,소초면,수암1리 경로당,소초면 수암리 1504-1, 갓바우길 101-5(소초면),조적조,44,19,25,147.2,2002-06-04
59,소초면,수암2리 경로당,소초면 수암리 697, 웃독골길 10(소초면),철근콘크리트/경량철골구조(2층),52,22,30,146.09,2005-01-26
60,소초면,수암3리 경로당 ,소초면 수암리 767-1, 바우실길 31(소초면),조적조,28,9,19,99.24,2005-06-20
61,소초면,수암4리 경로당,소초면 수암리 1033-4, 신양선녀길 244(소초면),철근콘크리트/경량철골구조(2층일부),38,16,22,134.62,2007-07-02
62,소초면,평장1리 경로당,소초면 평장리 789-1, 치악로 2790(소초면),"철근콘크리트/경량철골구조(1,2층)",57,25,32,132.3,1989-09-03
63,소초면,평장1리(섬배) 경로당,소초면 평장리 1099, 웃섬배길 14(소초면),벽돌구조,31,14,17,83.62,2000-01-02
64,소초면,평장2리 경로당 ,소초면 평장리 419-2, 평장두둑2길 13-6(소초면),붉은벽돌조,46,21,25,97.51,1998-12-11
65,소초면,둔둔2리 경로당,소초면 둔둔리 404-2, 버덩마을길 115(소초면),붉은벽돌조,55,25,30,79.43,1995-04-15
66,소초면,교항1리 경로당 ,소초면 교항리 1001, 치악로 2975(소초면),철근콘크리트,27,9,18,90.3,1994-12-10
67,소초면,교항1리(공산) 경로당 ,소초면 교항리 751-1, 교항공산길 126(소초면),벽돌구조,23,13,10,84.99,2008-08-28
68,소초면,교항1리(대동) 경로당,소초면 교항리 521, 텃골길 84(소초면),철근콘크리트,20,7,13,95.73,2011-11-23
69,소초면,교항2리 경로당,소초면 교항리 184-3, 독점길 3(소초면),철근콘크리트,51,22,29,132.69,2007-06-19
70,소초면,학곡1리 경로당,소초면 학곡리 331, 구룡사로 45-10(소초면),철근콘크리트,72,35,37,96.9,1996-02-04
71,소초면,학곡2리 경로당,소초면 학곡리 726-3, 무쇠점1길 38(소초면),철근콘크리트,27,15,12,121.23,2014-10-30
72,소초면,평장2리(안골) 경로당,소초면 평장리 220, 평장안골1길 72(소초면),철근콘크리트,37,16,21,98.76,2017-05-16
73,호저면,주산1리 경로당,호저면 주산리 1451-2, 호저문화 1길 34(호저면),철근콘크리트,47,23,24,156,2008-08-19
74,호저면,주산2리 경로당,호저면 주산리 320-2, 호매곡 1길 36(호저면),철근콘크리트/스라브,60,26,34,166.5,1998-09-01
75,호저면,만종1리 경로당,호저면 만종리 228, 상만종길 54-2(호저면),철근콘크리트,60,29,31,131.31,2016-02-02
76,호저면,만종2리 경로당,호저면 만종리 659-9, 감박산길7(호저면),철근콘크리트/평스라브,43,22,21,129.6,1994-04-14
77,호저면,만종2리(중부동) 경로당,호저면 만종리 832-1, 중부동 2길 4-8(호저면),벽돌조,40,15,25,74.04,1970-01-01
78,호저면,만종3리 경로당,호저면 만종리 382-4, 하만종3길 40(호저면),철근콘크리트,59,13,46,60,1967년경
79,호저면,만종4리 경로당,호저면 만종리 1118, 굴미실길 77-6(호저면),철골조,30,13,17,207.05,1997-12-30
80,호저면,만종5리 대보A 경로당,호저면 만종리 659-6," 감박산길 5, 나-105(호저면, 대보A)",철근콘크리트,38,17,21,59.89,1995-06-16
81,호저면,무장1리 경로당,호저면 무장리 925-8, 고여대길 8(호저면),철근콘크리트,29,13,16,117.25,2003-09-01
82,호저면,무장1리(송정) 경로당,호저면 무장리 1101-1, 유봉길 19(호저면),조적조,24,14,10,76.27,2000-12-28
83,호저면,무장2리 경로당,호저면 신무로 768-1, 신무로 768-1(호저면),철근콘크리트/조적조/경량철골구조,46,25,21,166.84,1995-05-30
84,호저면,옥산리 경로당,호저면 옥산리 314-1, 지촌길 7(호저면),철근콘크리트/조적조/경량철골구조,60,28,32,112.642,1994-04-19
85,호저면,대덕1리 경로당,호저면 대덕리 367-1, 쇠절이길 76(호저면),벽돌구조,22,6,16,117.44,2004-04-28
86,호저면,대덕2리 경로당,호저면 대덕리 749, 한터길 91(호저면),철근콘크리트,48,22,26,101.76,1999-12-02
87,호저면,고산리 경로당,호저면 고산리 747, 호저로 933(호저면),철근콘크리트,81,40,41,76.5,2010-09-17
88,호저면,광격리 경로당,호저면 광격리 828-12, 광격아랫길 3(호저면),철근콘크리트,62,26,36,164.95,1997-02-24
89,호저면,광격리(동막) 경로당,호저면 광격리 501, 고산동막길 130-15(호저면),벽돌구조,25,11,14,100.77,2004-12-03
90,호저면,샘골 경로당,호저면 광격리 270-3, 광격샘골길 54-1(호저면),철근콘크리트,18,10,8,100.35,2014-11-27
91,호저면,매호리 경로당,호저면 매호리 295-2, 매호로 135(호저면),철근콘크리트/일반목구조(2층),80,35,45,234.34,2001-08-13
92,호저면,산현리 경로당,호저면 산현리 178, 칠봉로 368-20(호저면),조적조/경량철골구조,53,19,34,108,1994-02-01
93,호저면,용곡리 경로당,호저면 용곡리 541-7, 칠봉로 723(호저면),변색벽돌조/경량철골구조,23,10,13,109.56,2001-09-24
94,지정면,간현1리 경로당,지정면 간현리 867-1, 간현로 143(지정면),철근콘크리트,59,25,34,198,1998-07-27
95,지정면,간현2리 경로당,지정면 간현리 186-1, 간현안길 40(지정면),조적조,52,18,34,121.5,1993-09-02
96,지정면,간현3리 경로당,지정면 간현리 820-6, 간현로 166번길 18(지정면),철근콘크리트,68,26,42,139.15,2011-08-05
97,지정면,간현4리 경로당,지정면 간현리 328-2, 경장길 17(지정면),철골조/경량철골구조,29,11,18,157.27,2007-12-03
98,지정면,판대1리 경로당,지정면 판대리 278-2, 지정로 1228(지정면),조적조/스라브,40,13,27,99.2,1995-08-04
99,지정면,판대1리(장지동) 경로당,지정면 판대리 87, 장지길 8-14(지정면),철근콘크리트/경량철골구조(2층),20,7,13,106.88,2006-05-25
100,지정면,판대2리 경로당,지정면 판대리 507-3, 구재로 139-24(지정면),조적조,22,8,14,158.34,2005-03-11
101,지정면,안창1리 경로당,지정면 안창리 377-15, 지정로 609(지정면),철근콘크리트구조,36,15,21,107.88,2002-10-31
102,지정면,안창1리(월운동) 경로당,지정면 안창리 240, 월운길 80(지정면),철근콘크리트구조,36,16,20,116.22,2005-07-08
103,지정면,가곡1리 경로당,지정면 가곡리 1088-2, 조엄로 301(지정면),조적조/스라브,24,7,17,97.2,1991-10-29
104,지정면,가곡2리 경로당,지정면 가곡리 241-2, 지촌안길 19(지정면),조적조,36,17,19,99.9,1995-11-17
105,지정면,월송1리 경로당,지정면 월송리 642-8, 월호동길 7(지정면),철근콘크리트,32,13,19,131.4,2010-11-25
106,지정면,월송2리 경로당,지정면 월송리 428-2, 송정로 41-19(지정면),벽돌조/경량철골구조,46,18,28,112.14,1992-10-21
107,지정면,월송3리 경로당,지정면 월송리 931-20,월송석화로 540,경량철골구조,17,8,9,98.91,2019-
108,지정면,월송4리 경로당,지정면 월송리 111-2, 송정로 238-12(지정면),철근콘크리트,34,16,18,67.86,1995-08-02
109,지정면,신평1리 경로당,지정면 신평리 360-1, 상차면길 3(지정면),일반철골구조/철근콘크리트(2층),59,21,38,140.13,2003-08-06
110,지정면,신평2리 경로당,지정면 신평리 520-4, 상무향평길 62(지정면),철근콘크리트조,28,13,15,132.84,2016-01-02
111,지정면,신평3리 경로당,지정면 신평리 520-4,신평안터길 7(지정면),철근콘크리트조,25,9,16,110.52,2012-11-01
112,지정면,보통리 경로당,지정면 보통리 407-9(대장상 407-16), 보통안길 27-16(지정면),철근콘크리트,11,6,5,98.94,1996-01-03
113,지정면,보통리(보갑) 경로당,지정면 보통리 480, 보통안길 130(지정면),철근콘크리트,23,10,13,136.73,2010-09-07
114,지정면,보통리(광터) 경로당,지정면 보통리 43-5, 보통로 521(지정면),철근콘크리트,21,7,14,139.32,2011-05-20
115,지정면,롯데캐슬1차A 경로당,지정면 가곡리 1537,"가곡로 50(지정면, 롯데캐슬1차A)",철근콘크리트,33,11,22,198.02,2018-06-26
116,지정면,롯데캐슬2차A 경로당,지정면 가곡리 1534,"가곡로 70(지정면,  롯데캐슬2차A)",철근콘크리트,27,11,16,195.12,2019-08-27
117,지정면,이지더원1차A 경로당,지정면 가곡리 1453,"신지정로 325, 커뮤니티센터 2층(지정면, 이지더원1차A)",철근콘크리트,46,22,24,373.67,2019-01-28
118,지정면,호반베르디움A 경로당,지정면 가곡리 1525,가곡로 120,철근콘크리트,49,20,29,144.5736,2018-08-31
119,지정면,라온프라이빗A 경로당,지정면 가곡리 1493,가곡로 132,철근콘크리트,32,13,19,133.34,2018-12-13
120,지정면,호반2차A 경로당,지정면 가곡리 1461,신지정로 295,철근콘크리트,22,9,13,142.34,2019-04-24
121,지정면,호반3차 더리버A 경로당,지정면 가곡리 1464,신지정로 265,철근콘크리트,17,5,12,142.34,2019-04-24
122,부론면,법천1리 경로당,부론면 법천리 1449-4, 법천시장길 63(부론면),철근콘크리트(조적조),96,41,55,132.8,2002-12-09
123,부론면,법천2리 경로당,부론면 법천리 713-6, 법후로 129-1(부론면),철근콘크리트,59,31,28,148.5,2010-01-07
124,부론면,법천3리(좀재) 경로당,부론면 법천리 1152-6, 부론로 175(부론면),벽돌구조,26,16,10,86.58,1990-10-15
125,부론면,법천3리(산수동) 경로당,부론면 법천리 1282-4, 산수동길 24(부론면),벽돌구조,24,11,13,51,2007-11-06
126,부론면,손곡1리 경로당,부론면 손곡리 1533-45, 법후로 425(부론면),철근콘크리트,48,19,29,96.36,2013-11-06
127,부론면,손곡2리 경로당,부론면 손곡리 251-1, 손곡로 231(부론면),철근콘크리트,46,23,23,98.85,2001-12-24
128,부론면,손곡3리 경로당,부론면 손곡리 986, 손곡로 5(부론면),철근콘크리트,40,19,21,134.2,2005-11-16
129,부론면,흥호1리 경로당,부론면 흥호리 산37-2, 하살미길 2(부론면),철근콘크리트,56,23,33,85.05,1994-03-11
130,부론면,흥호2리 경로당,부론면 흥호리 847, 월봉길 20-5(부론면),철근콘크리트,42,22,20,94.34,2001-07-16
131,부론면,노림1리 경로당,부론면 노림리 385-3, 견훤로 690(부론면),시멘벽돌,61,25,36,103.6,1978-01-01
132,부론면,노림2리 경로당,부론면 노림리 1111-1, 가루개길 54(부론면),조적조,9,1,8,66.25,1988-11-26
133,부론면,정산1리 경로당,부론면 정산리 1599-2, 부론로 544(부론면),철근콘크리트/경량철골구조(2층),43,18,25,90.92,2005-10-14
134,부론면,정산2리 경로당,부론면 정산리 1060-1, 정산음촌길 4(부론면),철근콘크리트,49,22,27,118.97,1998-11-23
135,부론면,정산3리 경로당,부론면 정산리 392-1, 정산로 228(부론면),조적조,34,16,18,112.56,1995-12-27
136,부론면,정산4리 경로당,부론면 정산리 1849, 부론로 312-13(부론면),철근콘크리트조,26,14,12,118.27,2005-10-21
137,부론면,단강1리 경로당,부론면 단강리 846-1, 부귀로 765-2(부론면),라멘조/스라브,38,21,17,98,1982-01-01
138,부론면,단강2리 경로당,부론면 단강리 491-3, 사기막길 9(부론면),철근콘크리트,59,26,33,101.79,1996-11-11
139,부론면,단강1리 작실 경로당,부론면 단강리 1126, 섬뜰작실길 121(부론면),철근콘크리트,25,10,15,100.22,2017-06-19
140,귀래면,용암1리 경로당,귀래면 용암리 901-1, 용암동막길 5(귀래면),철근콘크리트,67,28,39,130.64,2007-11-01
141,귀래면,용암2리 경로당,귀래면 용암리 199, 용암동막길 289(귀래면),변색벽돌,34,19,15,107.8,1995-12-19
142,귀래면,주포1리 경로당,귀래면 주포리 295-3, 주포안말길 12(귀래면),세면벽돌/경량철골구조(2층),42,18,24,108.8,1988-06-29
143,귀래면,주포2리 경로당,귀래면 주포리 426-1, 부귀로 1639(귀래면),변색벽돌조,22,9,13,101.25,1992-01-28
144,귀래면,운남1리 경로당,귀래면 운남리 1137, 운남길7(귀래면),철근콘크리트,60,25,35,167.89,2004-09-18
145,귀래면,운남2리 경로당,귀래면 운남리 213-3, 녹재길 13(귀래면),철근콘크리트,29,12,17,147.6,1994-04-09
146,귀래면,운남3리 경로당,귀래면 운남리 965-6, 한치길 11(귀래면),철근콘크리트,46,19,27,75.9,1994-11-12
147,귀래면,운남4리 경로당,귀래면 운남리 657, 법동길 51-4(귀래면),철근콘크리트,41,19,22,79.44,1998-03-28
148,귀래면,운계1리 경로당,귀래면 운계리 801-3, 북원로 313(귀래면),철근콘크리트,42,16,26,112.86,2009-07-23
149,귀래면,운계2리 경로당,귀래면 운계리 1310, 분토골길 9(귀래면),벽돌구조,44,19,25,124.4,2004-09-23
150,귀래면,운계3리 경로당,귀래면 운계리 111-9, 운계다둔길 113-4(귀래면),"철근콘크리트조
조적조",40,19,21,123.48,2003-10-08
151,귀래면,귀래1리 경로당,귀래면 귀래리 1332, 귀문로 500-1(귀래면),철근콘크리트,49,23,26,166.84,2005-06-01
152,귀래면,귀래2리 경로당,귀래면 귀래리 241-18, 귀래웃말길 8(귀래면),철근콘크리트,47,21,26,75.94,1994-09-09
153,귀래면,귀래3리 경로당,귀래면 귀래리 549-6, 귀운길 4(귀래면),조적조,31,13,18,112.86,1987-08-08
154,귀래면,귀래리(웅탑동) 경로당,귀래면 귀래리 864-2, 웅골길2(귀래면),벽돌구조,26,13,13,106.62,2005-10-29
155,흥업면,흥업1리 경로당,흥업면 흥업리 84-3, 울업1길 26(흥업면),철근콘크리트,52,25,27,117.6,2001-01-12
156,흥업면,보촌 경로당,흥업면 흥업리 601-2, 남원로 39(흥업면),철근콘크리트,41,15,26,108.4,2015-08-31
157,흥업면,흥업2리 경로당,흥업면 흥업리 899-3, 자감길 7(흥업면),철근콘크리트/조적조,52,22,30,102.33,1998-05-01
158,흥업면,흥업3리(흥대) 경로당,흥업면 흥업리 1326-3, 흥대길 78-3(흥업면),철근콘크리트,32,14,18,140.7,2001-09-01
159,흥업면,흥업3리(밤골) 경로당 ,흥업면 흥업리 258-1, 안밤골길 45(흥업면),철근콘크리트,37,21,16,99.4,2017-11-01
160,흥업면,흥업4리 경동A 경로당 ,흥업면 흥업리 86 ," 울업1길 33(흥업면, 경동A)",철근콘크리트,45,20,25,46.8,2000-04-18
161,흥업면,흥업5리 남원주두산위브A 경로당,흥업면 흥업리 1827 ," 북원로 1600(흥업면, 두산위브A)",철근콘크리트,49,11,38,64.61,2009-04-07
162,흥업면,흥업6리 LH천년나무2A 경로당,흥업면 흥업리 1841 ," 남원로 52(흥업면, LH천년나무2A)",철근콘크리트,87,40,47,141.12,2009-04-07
163,흥업면,사제1리 경로당,흥업면 사제리 495-5, 사제로 422(흥업면),철근콘크리트,51,19,32,136.62,2002-05-14
164,흥업면,사제1리(삼성) 경로당,흥업면 사제리 1092-2, 삼성길 99-6(흥업면),조적조,27,11,16,132.12,2005-06-01
165,흥업면,사제1리(봉미) 경로당,흥업면 사제리 307-1, 봉미길 1-28(흥업면),철근콘크리트,16,8,8,90.2,2007-08-13
166,흥업면,사제2리 경로당,흥업면 사제리 611-4, 사제로 355(흥업면),철근콘크리트,56,22,34,130.1,2004-01-26
167,흥업면,사제3리(광터) 경로당,흥업면 사제리 1430-8, 광터길 141-50(흥업면),철근콘크리트,35,12,23,116.4,2008-09-04
168,흥업면,사제3리(요동) 경로당 ,흥업면 사제리 243, 요동길 74(흥업면),철근콘크리트,20,8,12,104.24,2009-09-24
169,흥업면,사제3리(팔포) 경로당,흥업면 사제리 1511-7, 팔포길 39-6(흥업면),철근콘크리트,22,8,14,99.81,2009-07-09
170,흥업면,사제4리 거장A 경로당,흥업면 사제리 337 ," 사제로 483(흥업면, 거장A)",철근콘크리트,21,7,14,36,1999-03-27
171,흥업면,대안1리 경로당 ,흥업면 대안리 728-3, 승안동길 178-2(흥업면),변색벽돌/경량철골구조,61,31,30,68.25,1988-09-30
172,흥업면,대안2리 경로당 ,흥업면 대안리 1013-1, 대안로 876(흥업면),철근콘크리트/경량철골구조,55,30,25,186.2,2010-06-11
173,흥업면,대안2리(해삼) 경로당,흥업면 대안리 950-2, 해삼터길 26-18(흥업면),경량철골구조,20,4,16,97.8,2010-02-02
174,흥업면,대안3리(술산) 경로당,흥업면 대안리 1450-6, 술미길 12-1(흥업면),철근콘크리트구조,19,9,10,150.68,2004-11-04
175,흥업면,대안3리(대수리) 경로당,흥업면 대안리 1726-6, 대수리길 23-2(흥업면),경량철골구조,31,13,18,106.56,2014-11-19
176,흥업면,매지1리 경로당,흥업면 매지리 405-6, 무수막1길 13(흥업면),조적조/스라브,38,15,23,68.13,1971-10-01
177,흥업면,매지1리(분지동) 경로당 ,흥업면 매지리 181-3, 분지동길 54(흥업면),경량철골조,16,8,8,124.56,1997-09-09
178,흥업면,매지1리세동 경로당,흥업면 매지리 1932-9, 세동길 40-1(흥업면),철근콘크리트,32,15,17,96.44,2017-05-25
179,흥업면,매남동 경로당(매지2리 경로당),흥업면 매지리 1238-1, 매남동길 3-2(흥업면),라멘조/스라브,16,5,11,44,1985-12-17
180,흥업면,매지2리(한촌) 경로당,흥업면 매지리 1141-27, 한촌길 10(흥업면),변색벽돌조,30,12,18,56.14,2002-01-04
181,흥업면,매지2리(미촌) 경로당 ,흥업면 매지리 945-5, 미촌길 40(흥업면),벽돌구조,21,7,14,102.42,2004-06-01
182,흥업면,매지3리(개건너) 경로당,흥업면 매지리 1730, 더덕골길 18-2(흥업면),철근콘크리트,43,18,25,174.44,2002-11-18
183,흥업면,매지3리(회촌) 경로당,흥업면 매지리 647-7, 매지회촌길 114-2(흥업면),철근콘크리트,29,9,20,94.41,2016-12-07
184,흥업면,매지4리 현대A 경로당 ,흥업면 매지리 1928 ," 세동길 13(흥업면, 현대A)",철근콘크리트,35,9,26,40.4,1996-05-16
185,흥업면,매지5리 청솔A 경로당,흥업면 매지리 1934 ," 세동길 51(흥업면, 청솔A)",철근콘크리트,17,11,6,136,2001-09-13
186,판부면,금대1리 경로당 ,판부면 금대리 903-3, 치악로 1048(판부면),철근콘크르트/경량철골조,46,20,26,101.22,2010-11-26
187,판부면,금대2리 경로당 ,판부면 금대리 507-4, 한여마을길 30-2(판부면),철근콘크리트,47,20,27,127.77,2011-10-17
188,판부면,금대3리 경로당,판부면 금대리 191-6, 치악로 689-33(판부면),철근콘크리트/조적조,27,15,12,109.2,1994-05-16
189,판부면,서곡1리 경로당,판부면 서곡리 468-1, 내남송길 5(판부면),조적조/스라브/경량철골조,53,26,27,111.62,1991-07-25
190,판부면,서곡1리(내남송) 경로당,판부면 서곡리 114, 내남송길 131-3(판부면),철근콘크리트,28,12,16,99.72,2003-07-21
191,판부면,서곡2리 경로당,판부면 서곡리 1130-7, 서평길 12(판부면),변색벽돌,42,21,21,65.52,1992-05-19
192,판부면,서곡3리 경로당,판부면 서곡리 803, 내도매길 77(판부면),변색벽돌/스라브/경량철골구조,50,29,21,130.53,1993-11-22
193,판부면,서곡4리개건너 경로당,판부면 서곡리 1289, 용수골길 221(판부면),변색벽돌,31,10,21,72,1990-12-12
194,판부면,서곡4리(내동막) 경로당,판부면 서곡리 1178-2, 내동막길 65(판부면),철근콘크리트,21,7,14,107.38,2007-12-01
195,판부면,후리사 경로당,판부면 서곡리 1386-8, 용수골길 308-8(판부면),철근콘크리트,45,19,26,111.93,2013-09-13
196,판부면,서곡5리 거장2차A 경로당,판부면 서곡리 5," 남원로 223(판부면, 거장2차A)",철근콘크리트,25,5,20,87,2002-03-13
197,판부면,서곡9리 원주더샾A 경로당,판부면 서곡리 9," 시청로 264(판부면, 원주더#A)",철근콘크리트,16,7,9,107,2006-09-29
198,판부면,신촌리 경로당,판부면 신촌리 880,판부신촌길 205(판부면),철근콘크리트구조/벽돌구조(2층) ,23,10,13,115.25,2010-06-04
