연번,읍면동,경로당 명,소재지,새주소,건물구조,계,남,여,"경로당
면적
(㎡)","건축년도
(준공일)"
263,명륜2동,동보노빌리티2차A 경로당,명륜동 847-4 ,"시청로 267(명륜동, 동보노빌리티2차A)",철근콘크리트,27,9,18,120.25,2002-05-18
264,명륜2동,현진에버빌3차A 경로당,강원 원주시 명륜동 847-2,"남원로 443(명륜동, 현진에버빌3차A)",철근콘크리트,11,3,8,180,2004-09-17
265,명륜2동,한솔솔파크A 경로당,명륜동 765 ,"한지공원길 102(명륜동, 한솔솔파크A)",철근콘크리트,23,6,17,102.2,2006-07-31
266,명륜2동,용화 경로당,명륜동 850-1,한지공원길 25-20(명륜동),철근콘크리트,19,8,11,83.1,2013-08-22
267,명륜2동,서원 경로당,명륜동 536,남원로527번길 6-4(명륜동),철근콘크리트/연와조/스라브,37,21,16,90.3,1992-07-23
268,명륜2동,원주시 시각장애인 경로당,명륜동 442,남원로 527번길 6-49(명륜동),"벽돌구조, 철근콘크리트",42,17,25,82.89,1992-08-30
269,단구동,단구 경로당,단구동 140-3,원주시 치악로1580번길 7(단구동),라멘조,25,12,13,139.32,1993-05-06
270,단구동,강변 경로당,단구동 195-14,단사정길 106(단구동),조적조(변색벽돌),24,8,16,83.44,2005-02-14
271,단구동,관후 경로당,단구동 1465-3,송림길 52-4(단구동),철근콘크리트,56,20,36,97.56,2016-05.02
272,단구동,치악 경로당,단구동 1474-2,치악로1534번길 12-1(단구동),변색벽돌,26,7,19,98.16,1997-11-14
273,단구동,원흥4차A 경로당,단구동 187-3 원흥4차A,"치악로 1634(단구동, 원흥4차A)",철근콘크리트,22,3,19,172.4,1995-10-25
274,단구동,대흥A 경로당,단구동 1467 대흥A,"단구초교길 19(단구동, 대흥A)",철근콘크리트,41,6,35,126.72,1993-01-12
275,단구동,동주A 경로당,단구동 186-13 동주A,"치악로 1652(단구동, 동주A)",철근콘크리트,32,7,25,40,1980-05-27
276,단구동,청솔4차A 경로당,단구동 1684-1 청솔4차A,"단구로 416(단구동, 청솔4차A)",철근콘크리트,34,10,24,63,2001-02-06
277,단구동,한일A 경로당,단구동 1517-2 한일A,"남원로 526(단구동, 한일A)",철근콘크리트,30,5,25,68.4,1997-06-26
278,단구동,두산A 경로당,단구동 1520 두산A,"남원로 496(단구동, 두산A)",철근콘크리트,24,6,18,73.44,1997-04-29
279,단구동,현대1차A 경로당,단구동 1517-4 현대1차A,"남원로 492(단구동, 현대1차A)",철근콘크리트,28,9,19,73.64,1997-08-18
