,식당명,GRID_X,GRID_Y
256,개코네돈까스,395027,524970
257,생고기 숯불구이,393801,526187
258,그집쭈꾸미,397767,526525
259,흥양송어횟집,398300,531664
260,정연포장마차,394834,529449
261,염소마을,393970,527362
262,BBQ치킨 원주혁신도시점,398507,524951
263,돈까스랑 메밀이랑,394467,529528
264,금항아리마을,399643,521107
265,24시전주명가콩나물국밥터미널점,393874,527064
266,가마치통닭 흥업점,393077,522302
267,돈까스세상,395874,527246
268,홍춘천치즈닭갈비 원주기업도시점,389283,530262
269,카페 나이로비,394862,528534
270,MOON PALACE 원주단구점,396091,524480
271,희랑수제고로케,394813,529668
272,당키케이크,395682,527252
273,동네스낵,396180,530292
274,빽다방 원주중앙1호점,395572,527545
275,리얼빈스 문막점,383992,523024
276,아리차,394148,525650
277,쿠킹카페,394927,526648
278,원마트왕쌀떡볶이,396044,531204
279,뚜레쥬르 원주연세대점,391415,519891
280,파리바게뜨 원주무실세영,393672,525424
281,이삭토스트 원주롯데마트점,393781,527074
282,로즈라핀,398564,524906
283,CORO,393983,527036
284,철다리정육식당,396322,527611
285,홍게대첩,396503,524477
286,블루빈,395855,525544
287,맘스터치 원주무실점,394077,525758
288,방이샤브샤브칼국수 원주점,393347,527654
289,갑어촌,398266,531817
290,장군돼지부속,396468,528453
291,혼참치,393858,526236
292,고봉민김밥인 원주무실점,393731,526114
293,봉구스밥버거 한라대점,391993,522345
294,명량핫도그,394589,529775
295,배스킨라빈스 구곡,395626,525455
296,라마커피랩,394135,525636
297,동네책방 스몰굿씽,395358,524286
298,동경케이크,397011,526153
299,삼형제수산,389409,530185
300,둥이분식,396197,526686
301,제주뒷고기,396298,526807
302,속초게찜 원주점,398058,526855
303,이비가짬뽕 행구점,398058,526855
304,공차 원주법원점,394077,525758
305,커피할래,397118,526711
306,가연,395119,525262
307,뜨락한우곱창구이,393703,526293
308,신전떡볶이 우산점,394677,529756
309,타워냄비우동,394189,527081
310,꿀돼지순대해장국,394247,527591
311,다온감자탕,393777,526232
312,나을설렁탕,398058,526855
313,무실면옥,393330,526440
314,정원이 있는 집,395567,527397
315,라라코스트 원주무실점,393985,525712
316,쟈스민 관설점,397075,524170
317,오후가즐거운집,397091,526762
318,명륜진사갈비 원주문막점,385441,524329
319,오성삼겹살,395602,524107
320,아러이태국음식점,395620,527718
