,식당명,GRID_X,GRID_Y
230,2018-12-09 21:35,394792,539751
231,2018-12-01 18:19,383714,520135
232,2018-10-07 19:10,383838,522513
233,2018-04-29 20:10,408005,515693
234,2018-09-05 16:15,393927,535944
235,2018-02-19 16:00,414451,516031
236,2019-01-06 21,398403,534440
237,2019-01-12 07,393847,528456
238,2019-01-23 16,392384,528815
239,2019-01-26 02,392387,528839
240,2019-02-05 22,394534,528229
241,2019-03-05 14,395685,525558
242,2019-03-06 04,395803,527373
243,2019-04-01 14,403410,517646
244,2019-04-16 21,398013,523274
245,2019-04-18 10,396805,534672
246,2019-04-19 18,395725,531638
247,2019-05-03 07,396393,526565
248,2019-05-05 02,394734,528572
249,2019-05-17 19,396685,529007
250,2019-06-24 02,383619,522639
251,2019-08-03 18,382346,518723
252,2019-08-14 05,380590,519965
253,2019-09-07 15,389843,509967
254,2019-09-19 03,395529,529646
255,2019-09-21 19,394893,528332
256,2019-09-22 17,385676,529400
257,2019-10-02 13,401795,536710
258,2019-10-15 18,396348,533890
259,2019-10-17 17,390270,507687
260,2019-10-28 03,397381,523958
261,2019-11-02 05,395470,530977
262,2019-11-12 21,393863,527363
263,2019-11-15 22,395537,531407
264,2019-12-06 00,392247,522648
265,2019-12-10 16,399085,532680
266,2019-12-19 02,394243,529075
267,2019-12-31 00,387515,525782
268,2020-01-12 14,394895,528329
269,2020-01-26 10,393628,528213
270,2020-02-03 13,394475,527947
271,2020-03-12 13,380849,520198
272,2020-03-24 00,379206,516456
273,2020-04-21 08,395839,527088
274,2020-04-28 19,394984,528617
275,2020-05-15 20,395516,531257
276,2020-06-01 22,393272,526024
277,2020-06-16 15,396062,525626
278,2020-06-19 23,386939,525469
279,2020-07-01 01,392735,528796
280,2020-08-07 12,389871,509152
281,2020-08-20 09,389953,510354
282,2020-09-11 19,399544,521103
283,2020-09-13 14,395830,531156
284,2020-09-29 18,394016,533234
285,2020-10-30 09,395159,524990
286,2020-11-07 14,378186,513307
287,2020-11-12 14,389453,532204
288,2020-12-02 11,390442,507794
289,2020-12-18 12,403253,517812
290,2020-12-23 23,396852,534933
291,2021-01-23 14:00,382041,514611
292,2021-01-25 9:00,404458,516856
293,2021-03-05 7:00,399984,534572
294,2021-03-21 10:00,395617,530340
295,2021-04-02 5:00,407892,513982
296,2021-04-11 16:00,397710,530830
297,2021-05-12 17:00,379557,515871
298,2021-07-02 2:00,396895,526620
299,2021-07-22 13:00,401135,536674
300,2021-08-03 11:00,397155,524053
301,2021-08-31 14:00,393945,526929
302,2021-09-08 16:00,381592,509629
303,2021-09-18 17:00,377673,511523
304,2021-09-29 16:00,405600,515839
305,2021-10-25 22:00,396857,534932
306,2021-10-26 15:00,395604,526033
307,2021-11-09 14:00,386995,532272
308,2021-11-27 6:00,397529,530343
309,2021-11-30 19:00,399903,524627
310,2021-12-30 14:00,396289,527306
