,시설명,GRID_X,GRID_Y
406,건영A 경로당,399088,526870
407,현대A 경로당,398369,526514
408,금강아미움A 경로당,397512,526501
409,효성백년가약A 경로당,397797,526946
410,이화마을 경로당,394496,526542
411,코오롱A 경로당,393838,526776
412,무실본동 경로당,394217,525667
413,무실3통 경로당,392582,523740
414,요진보네르카운티A 경로당,393497,526168
415,무실주공1단지A 경로당,393377,525985
416,뜨란채A 경로당,393543,525841
417,무실주공3단지A 경로당,393690,525753
418,무실주공4단지A 경로당,393660,525993
419,무실주공5단지A 경로당,392814,526296
420,무실6단지휴먼시아A 경로당,393124,526050
421,무실주공7단지A 경로당,393295,526290
422,무실8단지A 경로당,394136,525988
423,무실이편한세상A 경로당,393012,526201
424,부영A 경로당,393767,525490
425,무실우미린A 경로당,394191,525008
426,무실세영리첼1차A 경로당,393748,525317
427,무실세영리첼2차A 경로당,394072,525163
428,봉대 경로당,340137,433597
429,반곡 경로당,397358,525790
430,관설 경로당,398411,522767
431,볼눈 경로당,398241,522281
432,청솔5차A 경로당,396992,523639
433,청솔6차A 경로당,397139,523946
434,청솔8차A 경로당,397089,523805
435,라옹정 경로당,396926,524103
436,코아루A 경로당,396841,523560
437,섭재 경로당,398839,522777
438,삼보 경로당,399083,523759
439,벽산블루밍A 경로당,397085,526316
440,반곡아이파크A 경로당,397003,525870
441,푸른숨LH11단지 경로당,398157,525971
442,힐데스하임A 경로당,398799,524568
443,푸른숨LH10단지 경로당,398523,526018
444,부영8단지A 경로당,399119,525910
445,푸른숨LH3단지 경로당,398226,524354
446,부영1단지A 경로당,398019,524436
447,푸른숨9단지A 경로당,398783,525966
448,월운정 경로당,396970,525290
449,중흥S클래스프라디움A 경로당,398098,524139
450,LH센트럴파크A경로당,399793,525170
451,e편한세상반곡A 경로당,397674,526186
